Human Prompt,Cypher Query
"What are the parameters for the 'updateProfile' method?","MATCH (:Method {name: 'updateProfile'})-[:HAS_PARAMETER]->(p:Class) RETURN p.name;"
"Show me all enums in the project.","MATCH (e:Enum) RETURN e.name;"
"Which file contains the 'Logger' interface?","MATCH (f:File)-[:CONTAINS_TYPE]->(i:Interface {name: 'Logger'}) RETURN f.path;"
"List all methods that return a 'UserDTO'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'UserDTO' RETURN m.name, m.signature;"
"Find classes that import 'java.util.List'.","MATCH (c:Class)-[:IMPORTS]->(imported:Class) WHERE imported.name = 'java.util.List' RETURN c.name;"
"How many distinct packages are there?","MATCH (p:Package) RETURN count(p);"
"Show me the methods of 'InvoiceGenerator'.","MATCH (c:Class {name: 'InvoiceGenerator'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"What other methods call 'validateToken'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'validateToken'}) RETURN caller.name;"
"What are the fields for the 'Product' class?","MATCH (:Class {name: 'Product'})-[:HAS_FIELD]->(f:Field) RETURN f.name;"
"List classes in the main application package.","MATCH (p:Package {name: 'com.myapp'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'connectDatabase' method.","MATCH (m:Method {signature: 'connectDatabase()'}) RETURN m.code;"
"Which classes implement 'Runnable'?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(:Interface {name: 'Runnable'}) RETURN c.name;"
"Find all methods in the 'security' package.","MATCH (p:Package {name: 'com.myapp.security'})-[:CONTAINS]->(:Class)-[:HAS_METHOD]->(m) RETURN m.name, m.signature;"
"Count the number of methods that call 'logError'.","MATCH (m:Method)-[:CALLS]->(:Method {name: 'logError'}) RETURN count(m);"
"Show me the path for the 'Configuration' interface.","MATCH (i:Interface {name: 'Configuration'}) RETURN i.file_path;"
"List all methods that take a 'String' as the first parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(String' RETURN m.signature;"
"Find the class with the name 'Customer'.","MATCH (c:Class {name: 'Customer'}) RETURN c.name, c.package;"
"What does 'initializeCache' call?","MATCH (:Method {name: 'initializeCache'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'sendEmail'?","MATCH (caller)-[:CALLS]->(:Method {name: 'sendEmail'}) RETURN caller.name, caller.signature;"
"Get all fields of the 'ShoppingCart' class.","MATCH (c:Class {name: 'ShoppingCart'})-[:HAS_FIELD]->(f:Field) RETURN f.name;"
"What interfaces are defined in 'com.myapp.common' package?","MATCH (p:Package {name: 'com.myapp.common'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show me the signature of 'findById' in 'CrudRepository'.","MATCH (:Interface {name: 'CrudRepository'})-[:HAS_METHOD]->(m:Method {name: 'findById'}) RETURN m.signature;"
"List methods that have a 'void' return type.","MATCH (m:Method) WHERE m.signature STARTS WITH 'public void' OR m.signature STARTS WITH 'private void' RETURN m.signature;"
"Which classes have no fields?","MATCH (c:Class) WHERE NOT (c)-[:HAS_FIELD]->() RETURN c.name;"
"Find all methods whose name contains 'test'.","MATCH (m:Method) WHERE m.name CONTAINS 'test' RETURN m.name, m.signature;"
"Get the file path for the 'Main' class.","MATCH (c:Class {name: 'Main'}) RETURN c.file_path;"
"What does the constructor for 'ReportBuilder' call?","MATCH (:Method {name: 'ReportBuilder'})-[:CALLS]->(m:Method) RETURN m.name, m.signature;"
"Which methods are called by 'generateReport'?","MATCH (:Method {name: 'generateReport'})-[:CALLS]->(m:Method) RETURN m.name, m.signature;"
"Find all methods in 'ReportService'.","MATCH (:Class {name: 'ReportService'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'getInstance'?","MATCH (c:Method)-[:CALLS]->(:Method {name: 'getInstance'}) RETURN c.signature;"
"List the fields for 'LineItem' class.","MATCH (c:Class {name: 'LineItem'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the project.","MATCH (i:Interface) RETURN i.name;"
"Get the code for 'parseRequest' method.","MATCH (m:Method {name: 'parseRequest'}) RETURN m.code;"
"Which classes in 'com.myapp.model' have more than 10 fields?","MATCH (p:Package {name: 'com.myapp.model'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f) WITH c, count(f) as fieldCount WHERE fieldCount > 10 RETURN c.name, fieldCount;"
"Show me all methods that are synchronized.","MATCH (m:Method) WHERE m.signature CONTAINS 'synchronized' RETURN m.signature;"
"What is the parent class of 'SecureUserService'?","MATCH (c:Class {name: 'SecureUserService'}) RETURN c.extension;"
"Find method calls between 'Service' layer and 'Repository' layer.","MATCH (s:Class)-[:HAS_METHOD]->(sm:Method)-[:CALLS]->(rm:Method)<-[:HAS_METHOD]-(r:Class) WHERE s.name ENDS WITH 'Service' AND r.name ENDS WITH 'Repository' RETURN s.name, sm.name, r.name, rm.name;"
"List all methods in the 'JwtProvider' class.","MATCH (:Class {name: 'JwtProvider'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'build' method of 'JwtBuilder'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'build'})<-[:HAS_METHOD]-(:Class {name: 'JwtBuilder'}) RETURN caller.signature;"
"What are the fields in the 'UserCredentials' class?","MATCH (:Class {name: 'UserCredentials'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.web' package.","MATCH (:Package {name: 'com.myapp.web'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'handle' in 'GlobalExceptionHandler'.","MATCH (:Class {name:t: 'GlobalExceptionHandler'})-[:HAS_METHOD]->(m:Method {name: 'handle'}) RETURN m.signature;"
"What methods does 'AuthenticationManager' call?","MATCH (:Class {name: 'AuthenticationManager'})-[:HAS_METHOD]->(m)-[:CALLS]->(callee) RETURN DISTINCT callee.name, callee.signature;"
"Which classes implement the 'AuthenticationProvider' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(:Interface {name: 'AuthenticationProvider'}) RETURN c.name;"
"Find all methods that return a 'boolean'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'boolean' or m.signature CONTAINS ' boolean ' RETURN m.signature;"
"How many files are in the project?","MATCH (f:File) RETURN count(f);"
"Show me all the methods in the 'ScheduledTasks' class.","MATCH (c:Class {name: 'ScheduledTasks'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'run' method in 'ScheduledTasks'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'run'})<-[:HAS_METHOD]-(:Class {name: 'ScheduledTasks'}) RETURN caller.signature;"
"List all fields in the 'TaskConfig' class.","MATCH (c:Class {name: 'TaskConfig'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'config' package.","MATCH (p:Package {name: 'config'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'configure' method.","MATCH (m:Method {name: 'configure'}) RETURN m.code;"
"Which classes import 'org.springframework.stereotype.Component'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'org.springframework.stereotype.Component'}) RETURN c.name;"
"Find all methods with no parameters.","MATCH (m:Method) WHERE m.signature ENDS WITH '()' RETURN m.name;"
"Count methods per package.","MATCH (p:Package)-[:CONTAINS]->(:Class)-[:HAS_METHOD]->(m) RETURN p.name, count(m) as methodCount ORDER BY methodCount DESC;"
"Show me the path of the 'Application' enum.","MATCH (e:Enum {name: 'Application'}) RETURN e.file_path;"
"List all methods that are 'private'.","MATCH (m:Method) WHERE m.signature STARTS WITH 'private' RETURN m.signature;"
"Find the class with the name 'OrderRepository'.","MATCH (c:Class {name: 'OrderRepository'}) RETURN c.name, c.package;"
"What does 'saveOrder' call?","MATCH (m:Method {name: 'saveOrder'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'deleteOrder'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'deleteOrder'}) RETURN caller.name;"
"Get all fields for the 'CustomerDetails' class.","MATCH (c:Class {name: 'CustomerDetails'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'repository' package?","MATCH (p:Package {name: 'repository'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'findAll' in 'PagingAndSortingRepository'.","MATCH (i:Interface {name: 'PagingAndSortingRepository'})-[:HAS_METHOD]->(m:Method {name: 'findAll'}) RETURN m.signature;"
"Which classes have no methods?","MATCH (c:Class) WHERE NOT (c)-[:HAS_METHOD]->() RETURN c.name;"
"Find all methods whose name ends with 'DTO'.","MATCH (m:Method) WHERE m.name ENDS WITH 'DTO' RETURN m.name;"
"Get the file path for the 'DtoMapper' class.","MATCH (c:Class {name: 'DtoMapper'}) RETURN c.file_path;"
"What does the 'mapToDto' method call?","MATCH (m:Method {name: 'mapToDto'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'mapToEntity'?","MATCH (m:Method {name: 'mapToEntity'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'UserMapper'.","MATCH (c:Class {name: 'UserMapper'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'toUser'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'toUser'}) RETURN caller.name;"
"List the fields for 'UserProfileDto' class.","MATCH (c:Class {name: 'UserProfileDto'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all enums in the 'model' package.","MATCH (p:Package {name: 'model'})-[:CONTAINS]->(e:Enum) RETURN e.name;"
"Get the code for 'valueOf' method in 'Role' enum.","MATCH (e:Enum {name: 'Role'})-[:HAS_METHOD]->(m:Method {name: 'valueOf'}) RETURN m.code;"
"Which classes in 'com.myapp.dto' have a field named 'id'?","MATCH (p:Package {name: 'com.myapp.dto'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f:Field {name: 'id'}) RETURN c.name;"
"Show me all methods that are 'protected'.","MATCH (m:Method) WHERE m.signature CONTAINS 'protected' RETURN m.signature;"
"What is the parent class of 'CustomAuthenticationProvider'?","MATCH (c:Class {name: 'CustomAuthenticationProvider'}) RETURN c.extension;"
"Find method calls from any 'Controller' to any 'Service'.","MATCH (c:Class)-[:HAS_METHOD]->(cm:Method)-[:CALLS]->(sm:Method)<-[:HAS_METHOD]-(s:Class) WHERE c.name ENDS WITH 'Controller' AND s.name ENDS WITH 'Service' RETURN c.name, sm.name, s.name;"
"List all methods in the 'FileStorageService' class.","MATCH (c:Class {name: 'FileStorageService'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'storeFile' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'storeFile'}) RETURN caller.signature;"
"What are the fields in the 'FileDB' class?","MATCH (c:Class {name: 'FileDB'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.service.storage' package.","MATCH (p:Package {name: 'com.myapp.service.storage'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'loadFile' in 'FileStorageService'.","MATCH (c:Class {name: 'FileStorageService'})-[:HAS_METHOD]->(m:Method {name: 'loadFile'}) RETURN m.signature;"
"What methods does 'deleteFile' call?","MATCH (m:Method {name: 'deleteFile'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'StorageService' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'StorageService'}) RETURN c.name;"
"Find all methods that return a 'ResponseEntity'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'ResponseEntity' RETURN m.signature;"
"How many classes are in the 'controller' package?","MATCH (p:Package {name: 'controller'})-[:CONTAINS]->(c:Class) RETURN count(c);"
"Show me all the methods in the 'MessageController' class.","MATCH (c:Class {name: 'MessageController'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'sendMessage' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'sendMessage'}) RETURN caller.signature;"
"List all fields in the 'Message' class.","MATCH (c:Class {name: 'Message'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.messaging' package.","MATCH (p:Package {name: 'com.myapp.messaging'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'receiveMessage' method.","MATCH (m:Method {name: 'receiveMessage'}) RETURN m.code;"
"Which classes import 'java.time.LocalDateTime'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'java.time.LocalDateTime'}) RETURN c.name;"
"Find all methods that have a 'final' keyword in their signature.","MATCH (m:Method) WHERE m.signature CONTAINS 'final' RETURN m.name, m.signature;"
"Count method calls for each method.","MATCH (caller:Method)-[r:CALLS]->(callee:Method) RETURN callee.name, count(r) as timesCalled ORDER BY timesCalled DESC LIMIT 20;"
"Show me the path of the 'Constants' class.","MATCH (c:Class {name: 'Constants'}) RETURN c.file_path;"
"List all methods that are both 'public' and 'static'.","MATCH (m:Method) WHERE m.signature STARTS WITH 'public static' RETURN m.signature;"
"Find the class with the name 'EmailValidator'.","MATCH (c:Class {name: 'EmailValidator'}) RETURN c.name, c.package;"
"What does 'isValid' method call?","MATCH (m:Method {name: 'isValid'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'validateEmail'?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'validateEmail'}) RETURN caller.name;"
"Get all fields for the 'ValidationResult' class.","MATCH (c:Class {name: 'ValidationResult'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'validator' package?","MATCH (p:Package {name: 'validator'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'validate' in 'Validator' interface.","MATCH (i:Interface {name: 'Validator'})-[:HAS_METHOD]->(m:Method {name: 'validate'}) RETURN m.signature;"
"Which classes have no superclass (no extension)?","MATCH (c:Class) WHERE c.extension IS NULL RETURN c.name;"
"Find all methods whose name contains 'init'.","MATCH (m:Method) WHERE m.name CONTAINS 'init' RETURN m.name, m.signature;"
"Get the file path for the 'WebConfig' class.","MATCH (c:Class {name: 'WebConfig'}) RETURN c.file_path;"
"What does the 'addCorsMappings' method call?","MATCH (m:Method {name: 'addCorsMappings'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'configureMessageConverters'?","MATCH (m:Method {name: 'configureMessageConverters'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'SecurityConfig'.","MATCH (c:Class {name: 'SecurityConfig'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'passwordEncoder'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'passwordEncoder'}) RETURN caller.name;"
"List the fields for 'JwtRequest' class.","MATCH (c:Class {name: 'JwtRequest'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the 'security.jwt' package.","MATCH (p:Package {name: 'security.jwt'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'generateToken' method.","MATCH (m:Method {name: 'generateToken'}) RETURN m.code;"
"Which classes in 'com.myapp.config' implement an interface?","MATCH (p:Package {name: 'com.myapp.config'})-[:CONTAINS]->(c:Class)-[:IMPLEMENTS_INTERFACE]->(i) RETURN DISTINCT c.name, i.name;"
"Show me all methods that return 'void'.","MATCH (m:Method) WHERE m.signature CONTAINS ' void ' RETURN m.signature;"
"What is the parent class of 'JwtAuthenticationEntryPoint'?","MATCH (c:Class {name: 'JwtAuthenticationEntryPoint'}) RETURN c.extension;"
"Find method calls from any 'Util' class to any other class.","MATCH (u:Class)-[:HAS_METHOD]->(um:Method)-[:CALLS]->(om:Method)<-[:HAS_METHOD]-(oc:Class) WHERE u.name ENDS WITH 'Util' AND u <> oc RETURN um.name, oc.name, om.name;"
"List all methods in the 'DateUtils' class.","MATCH (c:Class {name: 'DateUtils'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'formatDate' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'formatDate'}) RETURN caller.signature;"
"What are the fields in the 'CustomException' class?","MATCH (c:Class {name: 'CustomException'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.exception' package.","MATCH (p:Package {name: 'com.myapp.exception'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'getMessage' in 'CustomException'.","MATCH (c:Class {name: 'CustomException'})-[:HAS_METHOD]->(m:Method {name: 'getMessage'}) RETURN m.signature;"
"What methods does the 'handleException' method call?","MATCH (m:Method {name: 'handleException'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'ExceptionListener' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'ExceptionListener'}) RETURN c.name;"
"Find all methods that return a 'List'.","MATCH (m:Method) WHERE m.signature CONTAINS 'List<' RETURN m.signature;"
"How many interfaces are in the project?","MATCH (i:Interface) RETURN count(i);"
"Show me all the methods in the 'CsvParser' class.","MATCH (c:Class {name: 'CsvParser'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'parse' method in 'CsvParser'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'parse'})<-[:HAS_METHOD]-(:Class {name: 'CsvParser'}) RETURN caller.signature;"
"List all fields in the 'CsvRecord' class.","MATCH (c:Class {name: 'CsvRecord'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.parser' package.","MATCH (p:Package {name: 'com.myapp.parser'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'buildRecord' method.","MATCH (m:Method {name: 'buildRecord'}) RETURN m.code;"
"Which classes import 'java.io.File'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'java.io.File'}) RETURN c.name;"
"Find all methods that have a 'throws' clause in their signature.","MATCH (m:Method) WHERE m.signature CONTAINS 'throws' RETURN m.name, m.signature;"
"Find the most commonly called method.","MATCH ()-[r:CALLS]->(m:Method) RETURN m.name, m.signature, count(r) AS callCount ORDER BY callCount DESC LIMIT 1;"
"Show me the path of the 'pom.xml' file if it exists.","MATCH (f:File {path: 'pom.xml'}) RETURN f.path;"
"List all methods that are not 'public', 'private', or 'protected'.","MATCH (m:Method) WHERE NOT (m.signature STARTS WITH 'public' OR m.signature STARTS WITH 'private' OR m.signature STARTS WITH 'protected') RETURN m.signature;"
"Find the class with the name 'XmlParser'.","MATCH (c:Class {name: 'XmlParser'}) RETURN c.name, c.package;"
"What does the 'parseXml' method call?","MATCH (m:Method {name: 'parseXml'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'getDocument'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'getDocument'}) RETURN caller.name;"
"Get all fields for the 'XmlNode' class.","MATCH (c:Class {name: 'XmlNode'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'parser.xml' package?","MATCH (p:Package {name: 'parser.xml'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'getElement' in 'XmlDocument' interface.","MATCH (i:Interface {name: 'XmlDocument'})-[:HAS_METHOD]->(m:Method {name: 'getElement'}) RETURN m.signature;"
"Which classes are declared as 'final'?","MATCH (c:Class) WHERE c.signature CONTAINS 'final class' RETURN c.name;"
"Find all methods whose name starts with 'get'.","MATCH (m:Method) WHERE m.name STARTS WITH 'get' RETURN m.name;"
"Get the file path for the 'JsonUtil' class.","MATCH (c:Class {name: 'JsonUtil'}) RETURN c.file_path;"
"What does the 'toJson' method call?","MATCH (m:Method {name: 'toJson'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'fromJson'?","MATCH (m:Method {name: 'fromJson'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'ObjectMapper'.","MATCH (c:Class {name: 'ObjectMapper'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'writeValueAsString'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'writeValueAsString'}) RETURN caller.name;"
"List the fields for 'JsonRequest' class.","MATCH (c:Class {name: 'JsonRequest'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the 'json.mapper' package.","MATCH (p:Package {name: 'json.mapper'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'readTree' method.","MATCH (m:Method {name: 'readTree'}) RETURN m.code;"
"Which classes in 'com.myapp.util' have no fields?","MATCH (p:Package {name: 'com.myapp.util'})-[:CONTAINS]->(c:Class) WHERE NOT (c)-[:HAS_FIELD]->() RETURN c.name;"
"Show me all methods that return a 'Map'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Map<' RETURN m.signature;"
"What is the parent class of 'AbstractController'?","MATCH (c:Class {name: 'AbstractController'}) RETURN c.extension;"
"Find circular dependencies between methods.","MATCH (a:Method)-[:CALLS]->(b:Method)-[:CALLS]->(a) RETURN a.name, b.name;"
"List all methods in the 'MathHelper' class.","MATCH (c:Class {name: 'MathHelper'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'add' method in 'MathHelper'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'add'})<-[:HAS_METHOD]-(:Class {name: 'MathHelper'}) RETURN caller.signature;"
"What are the fields in the 'Vector' class?","MATCH (c:Class {name: 'Vector'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.math' package.","MATCH (p:Package {name: 'com.myapp.math'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'dotProduct' in 'MathHelper'.","MATCH (c:Class {name: 'MathHelper'})-[:HAS_METHOD]->(m:Method {name: 'dotProduct'}) RETURN m.signature;"
"What methods does 'subtract' call?","MATCH (m:Method {name: 'subtract'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'Calculator' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'Calculator'}) RETURN c.name;"
"Find all methods that return a 'Double'.","MATCH (m:Method) WHERE m.signature CONTAINS ' Double ' RETURN m.signature;"
"How many methods does each class in the 'service' package have?","MATCH (p:Package {name: 'service'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) RETURN c.name, count(m) as methodCount;"
"Show me all the methods in the 'AsyncService' class.","MATCH (c:Class {name: 'AsyncService'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'executeAsync' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'executeAsync'}) RETURN caller.signature;"
"List all fields in the 'FutureResult' class.","MATCH (c:Class {name: 'FutureResult'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.concurrent' package.","MATCH (p:Package {name: 'com.myapp.concurrent'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'get' method of 'FutureResult'.","MATCH (:Class {name: 'FutureResult'})-[:HAS_METHOD]->(m:Method {name: 'get'}) RETURN m.code;"
"Which classes import 'java.util.concurrent.Executor'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'java.util.concurrent.Executor'}) RETURN c.name;"
"Find all methods that have an annotation '@Transactional'.","MATCH (m:Method) WHERE m.code CONTAINS '@Transactional' RETURN m.name, m.signature;"
"Find the deepest method call chain.","MATCH p=(m:Method)-[:CALLS*]->(m2:Method) RETURN p, length(p) as depth ORDER BY depth DESC LIMIT 1;"
"Show me the path of the 'build.gradle' file.","MATCH (f:File {path: 'build.gradle'}) RETURN f.path;"
"List all methods that are 'abstract'.","MATCH (m:Method) WHERE m.signature CONTAINS 'abstract' RETURN m.signature;"
"Find the class with the name 'SingletonFactory'.","MATCH (c:Class {name: 'SingletonFactory'}) RETURN c.name, c.package;"
"What does the 'createInstance' method call?","MATCH (m:Method {name: 'createInstance'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'getSingleton'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'getSingleton'}) RETURN caller.name;"
"Get all fields for the 'InstanceCache' class.","MATCH (c:Class {name: 'InstanceCache'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'factory' package?","MATCH (p:Package {name: 'factory'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
